Key,English,Category,Context,Amharic,Technical
auth.login.abebe,Abebe Girma,auth,Demo user name,,No
auth.login.abebeRole,Seller · Bole Apple & Tech Hub,auth,Demo user role line,,No
auth.login.buyerBadge,BUYER,auth,Demo user badge,,No
auth.login.dawit,Dawit Alemu,auth,Demo user name,,No
auth.login.dawitRole,Seller · Kaffa & Sidama Roastery,auth,Demo user role line,,No
auth.login.go,Go →,auth,Login go button,,No
auth.login.idPlaceholder,Telegram ID e.g. 12893412,auth,Login custom id placeholder,,No
auth.login.invalidId,Enter a valid Telegram User ID,auth,Login invalid id alert,,No
auth.login.mike,Mike Fikadu,auth,Demo user name,,No
auth.login.mikeRole,"Buyer · Bole, Addis Ababa",auth,Demo user role line,,No
auth.login.openBot,Open @medebirrbot in Telegram →,auth,Login open bot link,,No
auth.login.openTelegram,📱 Open in Telegram for full experience,auth,Login info box title,,No
auth.login.openTelegramDesc,Real users authenticate via Telegram automatically — no sign up needed. This browser preview is for testing only.,auth,Login info box body,,No
auth.login.orEnterId,Or enter any Telegram User ID,auth,Login custom id label,,No
auth.login.sellerBadge,SELLER,auth,Demo user badge,,No
auth.login.signingIn,Signing in...,auth,Login signing in status,,No
auth.login.tagline,Ethiopia's Telegram Marketplace,auth,Browser login tagline,,No
auth.login.testAsDemo,Test as a demo user,auth,Login section label,,No
auth.login.title,መደብር | Medebirr,auth,Browser login header brand,,No
auth.logout.confirm,Log Out?,auth,Logout confirm title,,No
auth.logout.desc,You'll need to sign in again to manage your store.,auth,Logout confirm body,,No
auth.logout.yes,Log Out,auth,Logout confirm button,,No
auth.onboarding.welcome,✓ Welcome!,auth,Onboarding completed label,,No
auth.seller.access,🔑 Seller Studio Access,auth,Seller password modal title,,No
auth.seller.cancel,Cancel,auth,Modal cancel button,,No
auth.seller.enterPassword,Enter your seller password to access,auth,Seller password prompt body,,No
auth.seller.incorrect,Incorrect password,auth,Seller password error,,No
auth.seller.minLength,Password must be at least 4 characters,auth,Set password validation,,No
auth.seller.newPasswordLabel,New Password (min 4 characters),auth,New password field label,,No
auth.seller.newPasswordPlaceholder,Choose a password,auth,New password placeholder,,No
auth.seller.noPassword,Your store doesn't have a password yet. Set one now to access the Seller Studio.,auth,Set password intro,,No
auth.seller.passwordLabel,Password,auth,Seller password field label,,No
auth.seller.passwordPlaceholder,Enter your seller password,auth,Seller password input placeholder,,No
auth.seller.pleaseEnter,Please enter your password,auth,Seller password empty error,,No
auth.seller.setAndEnter,✅ Set Password & Enter,auth,Set password button,,No
auth.seller.setPasswordTitle,🔑 Set Your Password,auth,Set password modal title,,No
auth.seller.storeName,${store.store_name},auth,Seller password prompt store name,,No
auth.seller.unlock,🔓 Unlock Seller Studio,auth,Seller password unlock button,,No
auth.switchAccount,Switch Account,auth,Switch account button,,No
buyer.address.addNew,Add New Address,buyer,Add address button,,No
buyer.address.couldNotRemove,Could not remove address,buyer,Address remove error,,No
buyer.address.couldNotSave,Could not save address,buyer,Address save error,,No
buyer.address.couldNotUpdate,Could not update address,buyer,Address update error,,No
buyer.address.default,Default,buyer,Address default tag,,No
buyer.address.home,Home,buyer,Address label Home,,No
buyer.address.house,House / Landmark,buyer,Address form label,,No
buyer.address.housePlaceholder,"e.g. Near Edna Mall, House 412",buyer,Address house placeholder,,No
buyer.address.label,Label,buyer,Address form label,,No
buyer.address.manage,Manage Address,buyer,Address section title,,No
buyer.address.noSaved,No saved addresses,buyer,Address empty title,,No
buyer.address.noSavedDesc,Add a delivery address for faster checkout.,buyer,Address empty desc,,No
